otvoritev,barva,stevilo_iger,eco,datum,performance_rating,povprecen_rating,zmaga,remi,poraz,poteze 
"Ponziani Opening, Caro Gambit",black,176,C44,2022-04-19,2213,2198,45.5,17.6,36.9,1.e4 e5 2.Nf3 Nc6 3.c3 d5 4.Qa4 Bd7
"Ponziani Opening, General",white,756,C44,2022-08-13,2132,2102,46.3,20.9,32.8,1.e4 e5 2.Nf3 Nc6 3.c3
"Ponziani Opening, Jaenisch Counterattack",black,2080,C44,2022-10-16,2116,2140,32.7,25.5,41.8,1.e4 e5 2.Nf3 Nc6 3.c3 Nf6
"Ponziani Opening, Ponziani Countergambit",black,113,C44,2022-03-26,2241,2275,39.8,15.9,44.3,1.e4 e5 2.Nf3 Nc6 3.c3 f5
"Ponziani Opening, Steinitz Variation",black,324,C44,2022-09-16,2214,2215,38.0,25.0,37.0,1.e4 e5 2.Nf3 Nc6 3.c3 d5 4.Qa4 f6
"Ponziani Opening, Vukovic Gambit",black,103,C44,2022-04-12,2267,2233,48.5,10.7,40.8,1.e4 e5 2.Nf3 Nc6 3.c3 Nf6 4.d4 Nxe4 5.d5 Bc5
"Portuguese Opening, General",white,123,C20,2022-08-28,2119,2115,39.0,24.4,36.6,1.e4 e5 2.Bb5
"Pterodactyl Defense, Eastern, Anhanguera",white,242,B06,2022-09-21,2147,2110,35.1,22.3,42.6,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.Be3
"Pterodactyl Defense, Eastern, Benoni",white,687,B06,2022-08-13,2292,2258,45.4,25.3,29.3,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.d5
"Pterodactyl Defense, Eastern, Pterodactyl",black,344,B06,2022-04-19,2117,2192,24.7,20.1,55.2,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.dxc5 Qa5
"Pterodactyl Defense, Eastern, Pteronodon",black,191,B06,2022-10-09,2160,2185,23.6,29.3,47.1,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.dxc5 Bxc3+ 5.bxc3 Qa5
"Pterodactyl Defense, Eastern, Rhamporhynchus",white,114,B06,2022-04-12,2249,2233,52.6,9.7,37.7,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.dxc5
"Pterodactyl Defense, Miscellany, Queen Pterodactyl, Quiet",white,302,A40,2022-05-07,2147,2127,29.8,25.2,45.0,1.d4 g6 2.c4 Bg7 3.Nc3 c5 4.e3
"Pterodactyl Defense, Sicilian, Anhanguera",white,167,B06,2022-04-29,2231,2202,37.1,25.8,37.1,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.Nf3 Qa5 5.Be3
"Pterodactyl Defense, Sicilian, Rhamporhynchus",white,129,B06,2022-01-25,2366,2278,51.9,20.9,27.1,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.Nf3 Qa5 5.dxc5
"Pterodactyl Defense, Western, Rhamporhynchus",black,790,B06,2022-09-22,2216,2259,30.0,28.2,41.8,1.e4 g6 2.d4 Bg7 3.Nf3 c5 4.dxc5 Qa5+
"Queen Pawn Game, Anglo-Slav Opening",black,336,A41,2022-07-28,2005,2044,31.9,19.1,49.1,1.d4 c6 2.c4 d6
"Queen Pawn Game, Anti-Torre",black,748,D02,2022-08-19,1944,1979,30.4,21.9,47.7,1.d4 d5 2.Nf3 Bg4
"Queen Pawn Game, Barry Attack, Gruenfeld Variation",white,1622,D02,2022-09-09,2283,2254,34.9,30.8,34.3,1.d4 Nf6 2.Nf3 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Be2
"Queen Pawn Game, Chigorin  Variation",black,6222,D02,2022-10-20,1943,1981,24.7,22.6,52.7,1.d4 d5 2.Nf3 Nc6
"Queen Pawn Game, Colle System",white,5580,D04,2022-10-16,2076,2065,32.1,28.0,39.8,1.d4 d5 2.Nf3 Nf6 3.e3
"Queen Pawn Game, Colle System, Anti-Colle",black,1694,D04,2022-09-22,1973,1976,37.0,29.1,33.9,1.d4 d5 2.Nf3 Nf6 3.e3 Bf5
"Queen Pawn Game, Colle System, Gruenfeld Formation",black,641,A48,2022-07-24,2060,2045,47.6,25.1,27.3,1.d4 Nf6 2.Nf3 g6 3.e3 Bg7 4.Bd3 d5
"Queen Pawn Game, Franco-Sicilian Defense",black,602,C00,2022-09-01,1987,2041,36.7,20.1,43.2,1.d4 e6 2.e4 c5
"Queen Pawn Game, General",black,4299,D00,2022-10-16,1940,1954,38.2,24.2,37.6,1.d4 d5
"Queen Pawn Game, HÃ¼bsch Gambit",black,242,D00,2022-07-24,2201,2158,59.5,15.3,25.2,1.d4 Nf6 2.Nc3 d5 3.e4 Nxe4
"Queen Pawn Game, Levitsky Attack",white,5453,D00,2022-10-19,2207,2189,43.5,27.3,29.2,1.d4 d5 2.Bg5
"Queen Pawn Game, Levitsky Attack, Euwe Variation, Modern Line",black,358,D00,2022-04-08,2307,2325,25.4,41.1,33.5,1.d4 d5 2.Bg5 h6 3.Bh4 c6 4.Nf3 Qb6
"Queen Pawn Game, London System",white,18629,D02,2022-10-20,2116,2092,37.4,28.9,33.7,1.d4 d5 2.Nf3 Nf6 3.Bf4
"Queen Pawn Game, Mason Attack",white,555,D00,2022-09-11,1855,1843,33.7,19.8,46.5,1.d4 d5 2.f4
"Queen Pawn Game, Morris Countergambit",white,107,D00,2022-05-01,2309,2342,31.8,21.5,46.7,1.d4 d5 2.Bf4 c5 3.e4
"Queen Pawn Game, Queen Fianchetto",black,2367,A40,2022-10-09,2059,2107,32.7,19.7,47.6,1.d4 b6
"Queen Pawn Game, Sarratt Attack",white,14109,D00,2022-10-19,2072,2053,44.3,24.6,31.1,1.d4 d5 2.Bf4
"Queen Pawn Game, Steinitz Countergambit",black,2635,D00,2022-10-07,2205,2235,40.1,25.2,34.6,1.d4 d5 2.Bf4 c5
"Queen Pawn Game, Stonewall Attack",white,2024,D00,2022-09-25,1948,1931,38.4,21.0,40.6,1.d4 d5 2.e3 Nf6 3.Bd3
"Queen Pawn Game, Symmetrical Variation",black,12861,D02,2022-10-18,2191,2207,28.0,33.2,38.8,1.d4 d5 2.Nf3 Nf6
"Queen Pawn Game, Symmetrical Variation, Pseudo-Catalan",white,8703,D02,2022-10-16,2104,2097,33.1,31.7,35.2,1.d4 d5 2.Nf3 Nf6 3.g3
"Queen Pawn Game, Torre Attack",white,3628,D03,2022-10-07,2087,2058,42.4,29.0,28.6,1.d4 d5 2.Nf3 Nf6 3.Bg5
"Queen Pawn Game, Torre Attack, Breyer Variation",black,102,D03,2021-07-13,2197,2238,34.3,32.4,33.3,1.d4 d5 2.Nf3 Nf6 3.Bg5 e6 4.e3 c5 5.c3 Qb6
"Queen Pawn Game, Torre Attack, Gossip Variation",black,2105,D03,2022-08-23,2204,2209,41.3,29.3,29.4,1.d4 d5 2.Nf3 Nf6 3.Bg5 Ne4
"Queen Pawn Game, Torre Attack, Gruenfeld Variation",black,164,D03,2022-03-01,2124,2112,31.1,27.4,41.5,1.d4 d5 2.Nf3 Nf6 3.Bg5 g6
"Queen Pawn Game, Torre Attack, Gruenfeld Variation, Main Line",black,2441,D03,2022-10-20,2260,2279,27.5,36.0,36.5,1.d4 d5 2.Nf3 Nf6 3.Bg5 g6 4.e3 Bg7 5.Nbd2 O-O
"Queen Pawn Game, Veresov Atack, Alburt Defense",black,602,D00,2022-08-27,2140,2137,38.4,26.7,34.9,1.d4 d5 2.Nc3 Bf5
"Queen Pawn Game, Veresov Atack, Boyce Defense",black,154,D01,2022-07-09,2034,2069,27.9,17.5,54.5,1.d4 d5 2.Nc3 Nf6 3.Bg5 Ne4
"Queen Pawn Game, Veresov Atack, Classical Defense",white,493,D01,2022-09-29,2010,2019,34.1,23.9,42.0,1.d4 d5 2.Nc3 Nf6 3.Bg5 e6 4.Nf3
"Queen Pawn Game, Veresov Atack, Dutch System",black,1831,A80,2022-10-04,2232,2280,27.6,29.7,42.7,1.d4 d5 2.Nc3 f5
"Queen Pawn Game, Veresov Atack, Richter Variation",white,806,D01,2022-10-04,2169,2167,42.6,22.7,34.7,1.d4 d5 2.Nc3 Nf6 3.Bg5 Bf5 4.f3
"Queen Pawn Game, Veresov Atack, Veresov Variation",white,478,D01,2022-06-29,2231,2214,40.4,30.8,28.9,1.d4 d5 2.Nc3 Nf6 3.Bg5 Bf5 4.Bxf6
"Queen Pawn Game, Veresov Attack",white,4133,D00,2022-10-16,2113,2112,41.4,20.4,38.2,1.d4 d5 2.Nc3
"Queen Pawn Game, Veresov Attack, Two Knights System",white,1012,D01,2022-10-10,2234,2210,32.4,30.2,37.4,1.d4 d5 2.Nc3 Nf6 3.Bg5 Nbd7 4.Nf3
"Queen Pawn Game, Veresov Attack, Two Knights System, Gruenfeld Defense",black,419,D01,2022-05-14,2279,2268,39.6,32.7,27.7,1.d4 d5 2.Nc3 Nf6 3.Bg5 Nbd7 4.Nf3 g6
"Queen Pawn Game, Zukertort Variation",white,15885,D02,2022-10-17,2136,2118,39.1,29.1,31.8,1.d4 d5 2.Nf3
"Queen Pawn Opening, General",white,2008,A40,2022-10-01,2128,2104,47.0,19.9,33.1,1.d4
"Queen Pawn Opening, Veresov Attack, Irish Gambit",black,141,D00,2022-08-19,2173,2168,43.3,20.6,36.2,1.d4 d5 2.Nc3 c5
"Queen's Gambit Accepted, Accelerated Mannheim Variation",white,194,D20,2022-05-11,2008,2009,28.9,25.3,45.9,1.d4 d5 2.c4 dxc4 3.Qa4+
"Queen's Gambit Accepted, Alekhine Defense",black,1325,D22,2022-09-19,2329,2351,32.1,35.3,32.6,1.d4 d5 2.c4 dxc4 3.Nf3 a6
"Queen's Gambit Accepted, Alekhine Defense, Borisenko-Furman Variation",white,149,D21,2022-04-12,2403,2351,39.6,30.9,29.5,1.d4 d5 2.c4 dxc4 3.Nf3 a6 4.e4
"Queen's Gambit Accepted, Alekhine Defense, Haberditz Variation",black,395,D22,2022-09-07,2346,2374,7.3,61.5,31.1,1.d4 d5 2.c4 dxc4 3.Nf3 a6 4.e3 b5
"Queen's Gambit Accepted, Bogoljubow Defense",white,760,D24,2022-09-13,2416,2398,42.9,28.4,28.7,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.Nc3 a6 5.e4
"Queen's Gambit Accepted, Central Variation, Alekhine System",black,1946,D20,2022-10-08,2312,2348,27.3,31.5,41.2,1.d4 d5 2.c4 dxc4 3.e4 Nf6
"Queen's Gambit Accepted, Central Variation, Greco Variation",black,379,D20,2022-10-15,2272,2267,35.1,24.8,40.1,1.d4 d5 2.c4 dxc4 3.e4 b5
"Queen's Gambit Accepted, Central Variation, McDonnell Defense",black,2444,D20,2022-10-01,2255,2284,25.4,32.5,42.2,1.d4 d5 2.c4 dxc4 3.e4 e5
"Queen's Gambit Accepted, Central Variation, Modern Defense",black,1119,D20,2022-06-26,2299,2318,31.0,27.0,42.0,1.d4 d5 2.c4 dxc4 3.e4 Nc6
"Queen's Gambit Accepted, Central Variation, Rubinstein Defense",black,476,D20,2022-04-19,2249,2277,20.8,34.7,44.5,1.d4 d5 2.c4 dxc4 3.e4 c5
"Queen's Gambit Accepted, Classical Defense",black,1005,D26,2022-09-09,2303,2344,19.6,43.3,37.1,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5
"Queen's Gambit Accepted, Classical Defense, Alekhine System",white,414,D28,2022-10-05,2404,2362,42.5,36.0,21.5,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6 7.Qe2
"Queen's Gambit Accepted, Classical Defense, Alekhine System, Except Main Line",black,491,D28,2022-09-19,2326,2333,27.1,33.8,39.1,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6 7.Qe2 b5
"Queen's Gambit Accepted, Classical Defense, Alekhine System, Main Line",black,842,D29,2022-09-26,2368,2368,32.9,34.8,32.3,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6 7.Qe2 b5 8.Bb3 Bb7
"Queen's Gambit Accepted, Classical Defense, Main Lines",black,5125,D27,2022-09-24,2341,2377,17.7,46.1,36.2,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6
"Queen's Gambit Accepted, Classical Defense, Normal Lines",white,146,D26,2022-08-16,2334,2252,63.0,29.4,7.5,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O
"Queen's Gambit Accepted, Classical Defense, Rubinstein Variation",white,2743,D27,2022-09-29,2344,2317,34.2,41.1,24.6,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6 7.a4
"Queen's Gambit Accepted, Classical Defense, Russian Gambit",white,204,D27,2022-09-26,2472,2427,43.1,36.3,20.6,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6 7.e4
"Queen's Gambit Accepted, Classical Defense, Steinitz Variation, Development Variation",black,1204,D26,2022-10-07,2273,2309,20.5,40.5,39.0,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O Nc6
"Queen's Gambit Accepted, Classical Defense, Steinitz Variation, Exchange Variation",black,302,D26,2022-09-25,2218,2266,17.6,37.4,45.0,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O cxd4
"Queen's Gambit Accepted, Deferred",black,356,D25,2022-10-04,2149,2177,37.1,28.6,34.3,1.d4 d5 2.Nf3 Nf6 3.c4 dxc4
"Queen's Gambit Accepted, Furman Variation",black,1043,D27,2022-10-15,2385,2423,15.2,62.0,22.7,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6 7.dxc5 Bxc5
"Queen's Gambit Accepted, General",black,1809,D20,2022-10-20,1968,2004,39.9,21.0,39.1,1.d4 d5 2.c4 dxc4
"Queen's Gambit Accepted, Gunsberg Defense",black,1093,D21,2022-05-16,2313,2343,24.9,41.2,33.9,1.d4 d5 2.c4 dxc4 3.Nf3 c5
"Queen's Gambit Accepted, Gunsberg Defense, Prianishenmo Gambit",white,336,D24,2022-01-29,2468,2414,42.6,40.8,16.7,1.d4 d5 2.c4 dxc4 3.Nc3 c5 4.d5 Nf6 5.Nf3 e6 6.e4 exd5 7.e5
"Queen's Gambit Accepted, Janowski-Larsen Variation",black,2603,D25,2022-10-02,2280,2313,25.0,37.1,37.9,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 Bg4
"Queen's Gambit Accepted, Linares Variation",black,184,D20,2022-04-10,2319,2350,33.1,20.6,46.2,1.d4 d5 2.c4 dxc4 3.e4 c5 4.d5 Nf6 5.Nc3 b5
"Queen's Gambit Accepted, Mannheim Variation",white,1116,D23,2022-09-21,2354,2330,39.6,35.3,25.1,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.Qa4+
"Queen's Gambit Accepted, Normal Variation",white,1165,D25,2022-09-15,2321,2280,40.1,31.1,28.8,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3
"Queen's Gambit Accepted, Normal Variation",white,441,D21,2022-09-23,2278,2229,41.5,26.5,32.0,1.d4 d5 2.c4 dxc4 3.Nf3
"Queen's Gambit Accepted, Normal Variation, Traditional System",black,1338,D26,2022-10-04,2207,2254,26.4,30.6,43.0,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6
"Queen's Gambit Accepted, Old Variation",white,3921,D20,2022-10-20,2264,2221,41.2,31.9,26.9,1.d4 d5 2.c4 dxc4 3.e3
"Queen's Gambit Accepted, Rosenthal Variation",black,667,D21,2022-08-11,2262,2296,27.4,31.6,40.9,1.d4 d5 2.c4 dxc4 3.Nf3 e6
"Queen's Gambit Accepted, Saduleto Variation",white,188,D20,2022-04-19,1958,1861,68.6,12.2,19.1,1.d4 d5 2.c4 dxc4 3.e4
"Queen's Gambit Accepted, Showalter Variation",white,1296,D24,2022-09-24,2204,2192,36.4,26.5,37.1,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.Nc3
"Queen's Gambit Accepted, Smyslov Variation",black,430,D25,2022-05-06,2299,2374,23.7,36.3,40.0,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 g6
"Queen's Gambit Accepted, Winawer Defense",black,222,D25,2022-07-24,2251,2311,23.4,37.8,38.7,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 Be6
"Queen's Gambit Declined, Anti-Tartakower Variation",white,990,D55,2022-09-16,2386,2368,40.8,38.3,20.9,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bxf6
"Queen's Gambit Declined, Anti-Tartakower Variation, Petrosian Variation",white,693,D55,2022-05-23,2500,2448,25.1,66.5,8.4,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bxf6 Bxf6 8.Rc1 c6 9.Bd3 Nd7 10.O-O dxc4 11.Bxc4
"Queen's Gambit Declined, Barmen Variation",black,5099,D37,2022-10-08,2263,2304,24.0,36.0,40.0,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Nbd7
"Queen's Gambit Declined, Been-Koomen Variation",black,108,D50,2021-03-07,2145,2148,28.7,34.3,37.0,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 c5
"Queen's Gambit Declined, Cambridge Springs Variation",black,5262,D52,2022-10-16,2171,2207,27.7,32.2,40.1,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.Nf3 c6 6.e3 Qa5
"Queen's Gambit Declined, Capablanca - General",black,856,D30,2022-07-20,2361,2390,31.1,36.7,32.2,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 h6
"Queen's Gambit Declined, Capablanca Variation",white,183,D30,2022-03-29,2442,2378,48.1,32.8,19.1,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 Nbd7 5.e3 c6 6.Nbd2
"Queen's Gambit Declined, Charousek (Petrosian) Variation",black,6321,D31,2022-10-06,2263,2297,23.2,36.8,40.0,1.d4 d5 2.c4 e6 3.Nc3 Be7
"Queen's Gambit Declined, Exchange Variation",white,2438,D35,2022-09-29,2216,2193,43.0,32.2,24.8,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5
"Queen's Gambit Declined, Exchange Variation, Positional Variation",black,5554,D35,2022-10-19,2232,2265,23.2,34.9,41.9,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5 c6
"Queen's Gambit Declined, Exchange Variation, Positional Variation",white,14673,D35,2022-10-20,2223,2193,52.7,27.3,20.0,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5
"Queen's Gambit Declined, Exchange Variation, Reshevsky Variation",white,2499,D36,2022-10-09,2283,2240,45.1,30.6,24.3,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5 c6 6.Qc2
"Queen's Gambit Declined, Exchange Variation, Saemisch Variation",white,744,D35,2022-09-30,2466,2423,43.0,35.4,21.6,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Nf3 Nbd7 6.Bf4
"Queen's Gambit Declined, General",black,14962,D30,2022-10-19,2149,2177,27.3,30.8,42.0,1.d4 d5 2.c4 e6
"Queen's Gambit Declined, Harrwitz Attack",white,3372,D37,2022-09-28,2286,2274,49.8,30.2,20.0,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4
"Queen's Gambit Declined, Harrwitz Attack",white,791,D35,2022-09-24,1988,1953,48.0,23.8,28.2,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bf4
"Queen's Gambit Declined, Harrwitz Attack, Fianchetto Defense",black,2016,D37,2022-10-15,2207,2248,18.8,35.5,45.8,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 b6
"Queen's Gambit Declined, Harrwitz Attack, Main Line",black,2103,D37,2022-09-26,2340,2385,14.1,45.3,40.6,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 c5 7.dxc5 Bxc5
"Queen's Gambit Declined, Harrwitz Attack, Main Line, New Main Line",white,345,D37,2022-06-30,2491,2448,43.5,33.0,23.5,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 c5 7.dxc5 Bxc5 8.Qc2 Nc6 9.a3 Qa5 10.O-O-O
"Queen's Gambit Declined, Harrwitz Attack, Main Line, Old Main Line",white,510,D37,2022-10-14,2508,2454,40.0,42.4,17.6,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 c5 7.dxc5 Bxc5 8.Qc2 Nc6 9.a3 Qa5 10.Rd1
"Queen's Gambit Declined, Harrwitz Attack, Orthodox Defense",black,1301,D37,2022-09-15,2066,2088,19.1,24.1,56.8,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 c6
"Queen's Gambit Declined, Harrwitz Attack, Two Knights Defense",black,1712,D37,2022-10-05,2362,2383,19.3,45.9,34.9,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 Nbd7
"Queen's Gambit Declined, Harrwitz Attack, Two Knights Defense, Blockade Line",white,1010,D37,2022-10-09,2508,2469,37.1,45.1,17.7,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 Nbd7 7.c5
"Queen's Gambit Declined, Hastings Variation",white,562,D30,2022-04-19,2491,2446,37.7,38.1,24.2,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 h6 5.Bxf6 Qxf6 6.Nc3 c6 7.Qb3
"Queen's Gambit Declined, Janowski Variation",black,1982,D31,2022-10-16,2319,2354,33.8,31.1,35.1,1.d4 d5 2.c4 e6 3.Nc3 a6
"Queen's Gambit Declined, Lasker Defense",black,1562,D56,2022-10-16,2322,2333,17.5,53.1,29.4,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bh4 Ne4
"Queen's Gambit Declined, Lasker Defense, Main Line",white,374,D57,2022-08-26,2331,2294,33.7,48.4,17.9,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bh4 Ne4 8.Bxe7 Qxe7 9.cxd5 Nxc3 10.bxc3
"Queen's Gambit Declined, Lasker Defense, Teichmann Variation",white,596,D56,2022-09-15,2373,2350,27.4,58.6,14.1,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bh4 Ne4 8.Bxe7 Qxe7 9.Qc2
"Queen's Gambit Declined, Manhattan Variation",black,164,D51,2022-05-14,2095,2163,25.0,26.2,48.8,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3 Bb4
"Queen's Gambit Declined, Miles Variation, Dzhindzhi Attack",white,608,D53,2022-05-04,2412,2377,51.3,28.1,20.6,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.Nf3 O-O 6.Qc2
"Queen's Gambit Declined, Modern Variation",white,6757,D50,2022-10-16,2148,2113,48.0,28.8,23.3,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5
"Queen's Gambit Declined, Modern Variation, Normal Line",white,3435,D55,2022-09-24,2167,2141,44.2,32.5,23.4,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3
"Queen's Gambit Declined, Modern, Knight Defense",black,1835,D51,2022-08-13,2140,2174,26.1,31.4,42.5,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3 c6
"Queen's Gambit Declined, Modern, Knight Defense",black,1453,D51,2022-09-24,2047,2074,29.3,26.3,44.5,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7
"Queen's Gambit Declined, Modern, Knight Defense",white,470,D51,2022-04-15,2249,2191,49.8,31.7,18.5,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3
"Queen's Gambit Declined, Neo-Orthodox Variation",white,255,D54,2022-03-22,2483,2414,45.9,39.2,14.9,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Rc1
"Queen's Gambit Declined, Neo-Orthodox Variation",black,165,D55,2022-06-29,2093,2102,34.5,24.9,40.6,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6
"Queen's Gambit Declined, Neo-Orthodox Variation, Main Line",white,1018,D55,2022-09-25,2208,2185,40.3,39.0,20.7,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bh4
"Queen's Gambit Declined, Normal Defense",black,1296,D35,2022-09-12,1830,1841,39.9,21.8,38.4,1.d4 d5 2.c4 e6 3.Nc3 Nf6
"Queen's Gambit Declined, Orthodox Defense, Alekhine Variation",white,317,D67,2021-11-28,2506,2433,39.4,53.6,6.9,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 c6 8.Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.Ne4
"Queen's Gambit Declined, Orthodox Defense, Botvinnik Variation",white,1512,D60,2022-08-25,2098,2057,40.4,30.9,28.6,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Bd3
"Queen's Gambit Declined, Orthodox Defense, Classical Variation",black,291,D68,2022-06-04,2250,2288,11.0,52.2,36.8,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 c6 8.Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.O-O Nxc3 12.Rxc3 e5
"Queen's Gambit Declined, Orthodox Defense, Classical Variation",white,228,D69,2022-04-05,2333,2290,24.1,65.3,10.5,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 c6 8.Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.O-O Nxc3 12.Rxc3 e5 13.dxe5 Nxe5 14.Nxe5
"Queen's Gambit Declined, Orthodox Defense, Classical Variation",white,194,D68,2018-08-21,2482,2385,49.5,38.7,11.9,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 c6 8.Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.O-O Nxc3 12.Rxc3 e5 13.Qc2
"Queen's Gambit Declined, Orthodox Defense, Fianchetto Variation",black,255,D66,2022-05-01,2062,2107,18.8,30.6,50.6,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 c6 8.Bd3 dxc4 9.Bxc4 b5
